Type of Document,Processed Documents,Total Number of Documents
Action Plan,,1
Advisory,44,64
CO Memo,8,11
Indorsement,1,2
Letter,96,149
List,36,36
Memo from other attached Agency,3,3
Payroll Requirements for Reimbursement,,3
Permit to Study,43,49
Proposal (GAWAD),7,9
Regional Memo,18,36
WAP,11,204
(blank),,
LAC,,30
Letter from Email,14,18
Regional Advisory,6,12
Terminal Report,,1
Gawad Marangal Nomination Documents,,6
Accomplishment Report,,1
Approval Sheet (L&D),,1
JEL,,1
Email Invitation Letter,13,21
CO Advisory,2,2
Email,4,6
Activity Report,,2
Request Letter,9,12
Others,1,1
Coaching Contract,48,50
Nomination to 11th Gawad Patnugot,34,34
Grand Total,398,765
