Program Name,Target Personnel,Number of Target Personnel,Progress Status,Date Implemented,Year,,,,,
Revitalizing Assessment: 21st Century Test Design for the Alternative Learning System ,Teaching,96,Completed,"March 23-27, 2026",2026,,,,,
Capacity Building on Arabic Emergent Reading and Culture Awareness (AERCA) for Madrasah Education Program (MEP) Implementers ,Teaching,90,Completed,"February 5, 2026",2026,,,,,
Revisitation of the Committee on Decorum and Investigation (CODI) Policy Implementation in SDO Laguna Workplace ,Non-Teaching and Related-Teaching,100,Completed,"January 13, 2026",2026,,,,,
Division Orientation on the Administration and Utilization of Rapid Mathematics Assessment (RMA),Teaching,170,Completed," Feb. 9-10, 2026",2026,,,,,
One-Day Awareness Training on Bomb Threat Incident for School Disaster Risk Reduction Management Coordinators,Non-Teaching and Related-Teaching,400,Completed,"February 24-26, 2026",2026,,,,,
2026 Mathanong Challenge,Teaching,,Completed,"January 9, 2026",2026,,,,,
"""2026 Division Integrated Athletic Meet for Regular, Special Needs Education, and Alternative Learning System Athletes""",Teaching,500,Completed,"January 15-17, 2026",2026,,,,,
Division Seminar-Workshop on the Preparation and Consolidation of FY 2025 Year-End Financial Reports ,Non-Teaching and Related-Teaching,60,Completed,"January 6-7, 2026",2026,,,,,
Recalibrating the Division Education Development Plan (DEDP) in Alignment with the Quality Basic Education Development Plan (QBEDP),Non-Teaching and Related-Teaching,,Completed,"January 6, 2026",2026,,,,,
Ensuring Quality and Alignment: An Orientation of School Improvement Plan (SIP) Validators,Non-Teaching and Related-Teaching,,Completed,"January 26-27, 2026",2026,,,,,
Digital Bootcamp in Problem Solving and Digital Skills for Grade 9 and 10 Learners,,,,,2025,,,,,
Division Federated Election of Youth for Environment in Schools Organization (YES-O) for School Year 2025-2026,,,,,2025,,,,,
Division Capacity Building for Teacher-Tutors of the Academic Recovery and Accessible Learning (ARAL) Program,,4600,,,2025,,,,,
Year-end Individual and Office Performance Review,,,,,2025,,,,,
Gawad Teodora Alonso 2024,,,,,2025,,,,,
2025 Division Federation Elections of the Supreme Elementary Learner Government (SELG) and Supreme Secondary Learner Government (SSLG) in the Schools Division of Laguna ,,110,,03/06/2025,2025,,,,,
2025 National Women's Month Celebration,,,,"March 1-30, 2025",2025,,,,,
"(Appreciation for Schools, Digital Poster Making Contest for Learners)",,,,"March 19,2025",2025,,,,,
Retooling of Special Needs Education (SNED) Teachers on Individualized Education Planning,,,,04/11/2025,2025,,,,,
CGP Online Symposium 2025: Navigating Career Growth Through Industry Experts  ,,300,,"May 14-16, 2025 resched to November 24-26, 2025",2025,,,,,
Gender and Development: Strengthening Awareness on the Impact of Gender-Based Violence in Mental Health ,,60,,6/30/2025,2025,,,,,
"""Interface of Disaster Risk Reduction Management (DRRM) District Principal Coordinators on the Harmonization of DRRM Programs, Projects, and Activities for Fiscal Year 2025""",,,,5/23/2025,2025,,,,,
Re-Orientation on Gender Mainstreaming Evaluation Framework (GMEF) and Gender Statistics (GS),,,,05/06/2025,2025,,,,,
Empowering School Leaders through Commitment Planning and Target Setting for SY 2025-2026 ,,40,,"May 29-30, 2025",2025,,,,,
Reorientation on FY 2025 Enhanced Budget Monitoring System (eBMS),,,,5/27/2025,2025,,,,,
Second Division Management Committee Meeting,,100,,06/09/2025,2025,,,,,
Superintendent's AGAP Award,,,,"June 6-7, 2025",2025,,,,,
Joint Region IV-A CALABARZON and SDO Laguna Brigada Eskwela Kick-Off Ceremony 2025 ,,230,,"June 10-11, 2025",2025,,,,,
Division Training of Teachers on the Implementation of the Creative Curriculum for Kindergarten,,,,"June 10, 11, and 13, 2025",2025,,,,,
Division Roll-Out of Special Needs Education (SNED) Training on Content and Pedagogies for Receiving Teachers ,,,,6/25/2025,2025,,,,,
"Training of  Grades 2, 3, 5, and 8 Teachers on the Revised K to 12",,,,07/09/2025,2025,,,,,
Curriculum Implementation - Phase 2,,,,6/27/2025,2025,,,,,
2025 Project,,,,"July 3-5, 2025",2025,,,,,
 WoW (Wellness on Wednesdays) for SDO Laguna Personnel - Mental Health Activity,,50,,"July 17-18, 2025",2025,,,,,
Nutrition Month Celebration 2025 ,,60,,"July 22-25, 2025",2025,,,,,
Schools Division Office of Dasmariñas City (for benchmarking),,,,01/08/2025,2025,,,,,
Capability Development Module,,,,"September 19, 2025",2025,,,,,
on Dynamic Learning Program Implementation for Pilot School Teachers,,,,"October 21-23, 2025",2025,,,,,
Second Program Implementation Review and Plan Adjustment (PIRPA) for Fiscal Year 2025,,125,,"July 30-31, 2025",2025,,,,,
Rapid Damage Assessment and Needs Analysis Training for School Disaster Risk Reduction and Management Coordinators,,40,,08/05/2025,2025,,,,,
Division Science and Technology Fair (DSTF) for School Year (SY) 2025-2026,,,,08/08/2025,2025,,,,,
Finalization of Developed Professional Development Program (PDP) Proposals for Teachers and School Leaders,,400,,"August 12-14, 2025",2025,,,,,
Refresher Training on Quality Workplace Management and Training and Advocacy ,,,,7/29/2025,2025,,,,,
Third Quarter Interface of Federated Parents-Teachers Association cum Election of Laguna Federated Teachers Association for S.Y. 2025-2026,,,,"September 24-27, 2025",2025,,,,,
"Calibration of Curriculum Implementation Division’s (CID) Programs, Projects and Activities, and Learning and Development Efforts for Fiscal Year 2025",,,,10/22/2025,2025,,,,,
Division Federation Election of the Barkada Kontra Droga (BKD) for SY 2025-2026,,,,"August 26-27, 2025 ",2025,,,,,
Developing a Data-Driven School Improvement Plan: A Training-Workshop for School Leaders,,34,,8/22/2025,2025,,,,,
Re-Orientation on the Preparation of Gender and Development Plan and Budget (GPB) for School Leaders/GAD Focal Persons,,,,7/30/2025,2025,,,,,
Thrive After 60: An Active Aging Seminar-Workshop for Senior Citizens and PWD Personnel of SDO Laguna,,,,"September 2, 2025",2025,,,,,
"Virtual Orientation on the Supplemental and Expanded Guidelines of DepEd Order No. 40, s. 2012 and Implementation of Safe Spaces Act in Basic Education ",,,,"September 3-5, 2025",2025,,,,,
2025 Project WoW (Wellness on Wednesdays) for SDO Laguna Personnel - Mental Health Activity with the topic: The Emphatic Heart and Active Ears at Work,,,,"June 2-July 31, 2025",2025,,,,,
Finalization of the Operational Plan for Fiscal Year 2026 ,,850,,09/12/2025,2025,,,,,
